Price	Mileage	Make	Model	Type	Cylinder	Litre	Doors	Cruise	Sound	Leather																																					
17314.10313	8221	Toyota	Camry	Sedan	6	3.1	4	1	1	1																																					
17542.03608	9135	Toyota	Camry	Sedan	6	3.1	4	1	1	0																																					
16218.84786	13196	Toyota	Camry	Sedan	6	3.1	4	1	1	0																																					
16336.91314	16342	Toyota	Camry	Sedan	6	3.1	4	1	0	0																																					
16339.17032	19832	Toyota	Camry	Sedan	6	3.1	4	1	0	1																																					
15709.05282	22236	Toyota	Camry	Sedan	6	3.1	4	1	1	0																																					
15230.00339	22576	Toyota	Camry	Sedan	6	3.1	4	1	1	0																																					
15048.04218	22964	Toyota	Camry	Sedan	6	3.1	4	1	1	0																																					
14862.09387	24021	Toyota	Camry	Sedan	6	3.1	4	1	0	1																																					
15295.01827	27325	Toyota	Camry	Sedan	6	3.1	4	1	1	1																																					
21335.85248	10237	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
20538.08751	15066	Toyota	Corolla	Sedan	6	3.6	4	1	1	0																																					
20512.09409	16633	Toyota	Corolla	Sedan	6	3.6	4	1	1	0																																					
19924.15905	19800	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
19774.24907	23359	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
19344.16554	23765	Toyota	Corolla	Sedan	6	3.6	4	1	1	0																																					
19105.13012	24008	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
18543.42705	26034	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
17808.199	32896	Toyota	Corolla	Sedan	6	3.6	4	1	1	0																																					
17968.83828	34665	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
22358.87768	8970	Toyota	Corolla	Sedan	6	3.6	4	1	1	0																																					
23785.92253	10577	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
22926.09037	14363	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
21895.75878	16508	Toyota	Corolla	Sedan	6	3.6	4	1	0	1																																					
21273.06171	18908	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
21460.01395	19467	Toyota	Corolla	Sedan	6	3.6	4	1	0	1																																					
21183.12359	21394	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
20406.0995	22596	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
21058.13958	24469	Toyota	Corolla	Sedan	6	3.6	4	1	1	1																																					
19556.89932	25245	Toyota	Corolla	Sedan	6	3.6	4	1	0	0																																					
23447.68656	15755	Toyota	Corolla	Sedan	6	3.8	4	1	1	0																																					
23547.23944	16235	Toyota	Corolla	Sedan	6	3.8	4	1	1	0																																					
23016.00801	18147	Toyota	Corolla	Sedan	6	3.8	4	1	1	1																																					
22230.0275	22102	Toyota	Corolla	Sedan	6	3.8	4	1	0	1																																					
22625.07357	23612	Toyota	Corolla	Sedan	6	3.8	4	1	0	1																																					
21799.1721	24439	Toyota	Corolla	Sedan	6	3.8	4	1	0	0																																					
21341.25721	25212	Toyota	Corolla	Sedan	6	3.8	4	1	1	1																																					
21683.03146	26779	Toyota	Corolla	Sedan	6	3.8	4	1	1	0																																					
20986.01602	27096	Toyota	Corolla	Sedan	6	3.8	4	1	0	0																																					
20902.10379	29649	Toyota	Corolla	Sedan	6	3.8	4	1	1	1																																					
20698.07708	2992	Toyota	Starlet	Sedan	6	3.8	4	1	0	1																																					
20099.25684	10036	Toyota	Starlet	Sedan	6	3.8	4	1	1	1																																					
18145.12649	18339	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
17944.85692	19592	Toyota	Starlet	Sedan	6	3.8	4	1	0	0																																					
19027.86231	21797	Toyota	Starlet	Sedan	6	3.8	4	1	0	1																																					
18348.89857	23852	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
17750.88457	25040	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
17772.96968	25052	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
17394.0214	25464	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
17645.74504	27830	Toyota	Starlet	Sedan	6	3.8	4	1	1	1																																					
21908.36662	17353	Toyota	Starlet	Sedan	6	3.8	4	1	0	0																																					
21956.34266	17787	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
21646.11692	19562	Toyota	Starlet	Sedan	6	3.8	4	1	1	1																																					
21575.45683	20137	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
20952.2178	20158	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
21562.04758	23767	Toyota	Starlet	Sedan	6	3.8	4	1	0	1																																					
19981.12791	24323	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
19425.84862	27839	Toyota	Starlet	Sedan	6	3.8	4	1	1	0																																					
19191.98962	29187	Toyota	Starlet	Sedan	6	3.8	4	1	1	1																																					
19641.7419	31324	Toyota	Starlet	Sedan	6	3.8	4	1	1	1																																					
25589.98315	2308	Toyota	Corona	Sedan	6	3.8	4	1	1	0																																					
25098.62906	10014	Toyota	Corona	Sedan	6	3.8	4	1	1	0																																					
23420.70695	18910	Toyota	Corona	Sedan	6	3.8	4	1	0	1																																					
22661.04849	20105	Toyota	Corona	Sedan	6	3.8	4	1	0	0																																					
23493.0823	20453	Toyota	Corona	Sedan	6	3.8	4	1	1	0																																					
22435.20282	22287	Toyota	Corona	Sedan	6	3.8	4	1	1	1																																					
